Date	Open	High	Low	Close	SMAVG (50)  on Close	SMAVG (100)  on Close	SMAVG (200)  on Close	S&P 500 Index - #Ticks	SMAVG (15)
2017-01-31 03:50:00	2275.58	2275.85	2275.34	2275.67	2273.37	2280.61	2288.06	300	300
2017-01-31 03:45:00	2276.25	2276.54	2275.46	2275.58	2273.29	2280.78	2288.17	300	300
2017-01-31 03:40:00	2276.65	2276.82	2275.76	2276.24	2273.21	2280.96	2288.29	300	300
2017-01-31 03:35:00	2276.86	2276.87	2276.41	2276.66	2273.15	2281.13	2288.39	300	300
2017-01-31 03:30:00	2276.34	2277.38	2276.26	2276.86	2273.08	2281.30	2288.50	300	300
2017-01-31 03:25:00	2274.77	2276.46	2274.74	2276.34	2273.00	2281.47	2288.60	300	300
2017-01-31 03:20:00	2274.43	2274.98	2274.37	2274.77	2272.89	2281.64	2288.70	300	300
2017-01-31 03:15:00	2274.39	2274.55	2273.98	2274.42	2272.86	2281.83	2288.82	300	300
2017-01-31 03:10:00	2274.11	2274.39	2273.74	2274.39	2272.88	2282.01	2288.94	300	300
2017-01-31 03:05:00	2273.27	2274.09	2272.67	2274.09	2272.91	2282.21	2289.06	300	300
2017-01-31 03:00:00	2272.43	2273.46	2272.43	2273.27	2272.96	2282.41	2289.18	300	300
2017-01-31 02:55:00	2271.73	2272.56	2271.68	2272.42	2273.02	2282.62	2289.30	300	300
2017-01-31 02:50:00	2272.34	2272.35	2271.12	2271.70	2273.07	2282.84	2289.42	300	300
2017-01-31 02:45:00	2272.47	2272.48	2272.07	2272.32	2273.18	2283.07	2289.56	300	300
2017-01-31 02:40:00	2272.10	2273.10	2271.87	2272.48	2273.36	2283.30	2289.70	300	300
2017-01-31 02:35:00	2272.74	2272.81	2271.92	2272.13	2273.56	2283.52	2289.83	300	300
2017-01-31 02:30:00	2273.34	2273.37	2272.28	2272.75	2274.01	2283.75	2289.96	300	300
2017-01-31 02:25:00	2272.35	2273.40	2272.27	2273.34	2274.45	2283.97	2290.09	300	300
2017-01-31 02:20:00	2272.77	2272.99	2272.29	2272.36	2274.87	2284.17	2290.22	300	300
2017-01-31 02:15:00	2273.62	2273.71	2272.78	2272.78	2275.31	2284.38	2290.37	300	300
2017-01-31 02:10:00	2274.54	2274.64	2273.62	2273.62	2275.71	2284.59	2290.50	300	300
2017-01-31 02:05:00	2273.30	2274.66	2273.04	2274.56	2276.10	2284.79	2290.63	300	300
2017-01-31 02:00:00	2273.08	2273.49	2273.05	2273.31	2276.45	2284.98	2290.75	300	300
2017-01-31 01:55:00	2272.90	2273.11	2272.33	2273.11	2276.83	2285.19	2290.88	300	300
2017-01-31 01:50:00	2272.40	2273.28	2272.06	2272.89	2277.21	2285.39	2291.01	300	300
2017-01-31 01:45:00	2272.60	2272.85	2272.23	2272.41	2277.59	2285.60	2291.13	300	300
2017-01-31 01:40:00	2273.34	2273.41	2272.13	2272.59	2278.00	2285.81	2291.26	300	300
2017-01-31 01:35:00	2272.95	2273.40	2272.54	2273.32	2278.41	2286.01	2291.40	300	300
2017-01-31 01:30:00	2274.45	2274.45	2272.62	2272.95	2278.80	2286.20	2291.52	300	300
2017-01-31 01:25:00	2274.64	2275.13	2274.47	2274.47	2279.20	2286.40	2291.65	300	300
2017-01-31 01:20:00	2274.77	2274.99	2273.98	2274.65	2279.58	2286.59	2291.77	300	300
2017-01-31 01:15:00	2274.11	2274.75	2274.02	2274.75	2279.95	2286.78	2291.89	300	300
2017-01-31 01:10:00	2274.63	2274.66	2273.33	2274.12	2280.32	2286.98	2292.01	300	300
2017-01-31 01:05:00	2274.53	2275.32	2274.29	2274.62	2280.70	2287.17	2292.14	300	300
2017-01-31 01:00:00	2275.01	2275.06	2274.30	2274.53	2281.07	2287.36	2292.26	300	300
2017-01-31 00:55:00	2274.26	2275.31	2274.26	2274.99	2281.45	2287.55	2292.37	300	300
2017-01-31 00:50:00	2274.95	2275.19	2274.11	2274.22	2281.83	2287.74	2292.48	300	300
2017-01-31 00:45:00	2273.82	2275.22	2273.82	2274.93	2282.21	2287.94	2292.60	300	300
2017-01-31 00:40:00	2273.81	2274.24	2273.50	2273.79	2282.57	2288.13	2292.71	300	300
2017-01-31 00:35:00	2271.37	2273.78	2271.36	2273.78	2282.95	2288.32	2292.81	300	300
2017-01-31 00:30:00	2271.52	2272.03	2271.36	2271.36	2283.34	2288.53	2292.93	300	300
2017-01-31 00:25:00	2272.52	2272.61	2271.50	2271.55	2283.77	2288.76	2293.05	300	300
2017-01-31 00:20:00	2272.95	2273.88	2272.40	2272.51	2284.21	2288.99	2293.18	300	300
2017-01-31 00:15:00	2273.03	2273.03	2272.11	2272.97	2284.62	2289.21	2293.30	300	300
2017-01-31 00:10:00	2271.40	2273.17	2271.40	2273.12	2285.03	2289.44	2293.41	300	300
2017-01-31 00:05:00	2269.56	2271.42	2269.40	2271.42	2285.44	2289.66	2293.53	300	300
2017-01-31 00:00:00	2269.68	2270.19	2269.21	2269.56	2285.89	2289.91	2293.66	300	300
2017-01-30 23:55:00	2268.51	2269.88	2268.04	2269.71	2286.37	2290.18	2293.80	300	300
2017-01-30 23:50:00	2269.66	2270.40	2268.52	2268.52	2286.86	2290.45	2293.94	300	300
2017-01-30 23:45:00	2271.55	2271.55	2269.33	2269.67	2287.37	2290.73	2294.08	300	300
2017-01-30 23:40:00	2271.73	2272.24	2271.21	2271.57	2287.84	2291.00	2294.23	300	300
2017-01-30 23:35:00	2273.26	2273.40	2271.13	2271.70	2288.28	2291.26	2294.36	300	300
2017-01-30 23:30:00	2273.15	2273.52	2272.51	2273.17	2288.71	2291.50	2294.49	300	300
2017-01-30 23:25:00	2272.86	2273.56	2272.68	2273.13	2289.11	2291.73	2294.61	300	300
2017-01-30 23:20:00	2271.22	2272.85	2271.22	2272.84	2289.51	2291.97	2294.73	300	300
2017-01-30 23:15:00	2273.11	2273.22	2270.88	2271.07	2289.93	2292.22	2294.85	300	300
2017-01-30 23:10:00	2275.35	2275.44	2271.84	2273.05	2290.39	2292.48	2294.98	300	300
2017-01-30 23:05:00	2276.16	2276.90	2275.08	2275.26	2290.79	2292.71	2295.10	300	300
2017-01-30 23:00:00	2276.36	2277.29	2275.14	2276.19	2291.15	2292.92	2295.21	300	300
2017-01-30 22:55:00	2276.19	2277.14	2275.66	2276.38	2291.50	2293.12	2295.31	300	300
2017-01-30 22:50:00	2275.01	2277.00	2274.11	2276.18	2291.86	2293.33	2295.41	300	300
2017-01-30 22:45:00	2277.29	2277.60	2274.87	2275.04	2292.22	2293.54	2295.51	300	300
2017-01-30 22:40:00	2281.17	2281.23	2277.05	2277.44	2292.62	2293.76	2295.61	300	300
2017-01-30 22:35:00	2282.22	2282.68	2281.22	2281.22	2292.96	2293.97	2295.71	300	300
2017-01-30 22:30:00	2286.01	2286.01	2281.96	2282.21	2293.23	2294.14	2295.78	300	300
2017-01-28 05:10:00	2294.69	2294.69	2294.69	2294.69	2293.48	2294.30	2295.85	300	300
2017-01-28 05:05:00	2294.69	2294.69	2294.69	2294.69	2293.49	2294.34	2295.85	300	300
2017-01-28 05:00:00	2294.47	2294.69	2294.46	2294.69	2293.49	2294.37	2295.86	300	300
2017-01-28 04:55:00	2292.92	2294.70	2292.92	2294.26	2293.46	2294.41	2295.85	300	300
2017-01-28 04:50:00	2293.29	2293.68	2292.66	2292.77	2293.44	2294.44	2295.85	300	300
2017-01-28 04:45:00	2292.04	2293.03	2292.04	2293.01	2293.46	2294.48	2295.86	300	300
